0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:43:35 +0900] "GET /sistSemiProject/menu/js/jquery.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:43:35 +0900] "GET /sistSemiProject/menu/js/function.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:43:35 +0900] "GET /sistSemiProject/menu/js/jquery.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:43:35 +0900] "GET /sistSemiProject/menu/js/function.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:16 +0900] "GET /sistSemiProject/index.jsp?main=recomCourse/detailRecomCourse.jsp?name=%ED%9E%90%EB%A7%81 HTTP/1.1" 200 18259
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:16 +0900] "GET /sistSemiProject/menu/js/jquery.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:16 +0900] "GET /sistSemiProject/menu/js/function.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:17 +0900] "GET /sistSemiProject/menu/js/jquery.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:17 +0900] "GET /sistSemiProject/menu/js/function.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:22 +0900] "GET /sistSemiProject/index.jsp?main=recomCourse/detailRecomCourse.jsp?name=%ED%9E%90%EB%A7%81 HTTP/1.1" 200 18259
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:22 +0900] "GET /sistSemiProject/menu/js/jquery.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:22 +0900] "GET /sistSemiProject/menu/js/function.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:22 +0900] "GET /sistSemiProject/menu/js/jquery.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:22 +0900] "GET /sistSemiProject/menu/js/function.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:30 +0900] "GET /sistSemiProject/index.jsp?main=recomCourse/detailRecomCourse.jsp?name=%ED%9E%90%EB%A7%81 HTTP/1.1" 200 18259
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:30 +0900] "GET /sistSemiProject/menu/js/function.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:30 +0900] "GET /sistSemiProject/menu/js/jquery.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:30 +0900] "GET /sistSemiProject/menu/js/jquery.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:30 +0900] "GET /sistSemiProject/menu/js/function.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:38 +0900] "GET /sistSemiProject/index.jsp HTTP/1.1" 200 29771
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:38 +0900] "GET /sistSemiProject/menu/js/jquery.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:38 +0900] "GET /sistSemiProject/menu/js/function.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:38 +0900] "GET /sistSemiProject/menu/js/jquery.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:38 +0900] "GET /sistSemiProject/menu/js/function.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:44:40 +0900] "GET /sistSemiProject/index.jsp?main=recomCourse/recomCourseList.jsp HTTP/1.1" 200 9778
